title,pubDate,link
"La polio a disparu des Philippines, annonce l’OMS","Fri, 11 Jun 2021 13:55:09 +0200",https://www.lemonde.fr/planete/article/2021/06/11/la-polio-a-disparu-des-philippines-annonce-l-oms_6083746_3244.html
"L’Euro de football débute ce soir : découvrez notre guide interactif pour tout savoir sur les 24 équipes, les joueurs et le calendrier des matchs","Sat, 05 Jun 2021 06:00:12 +0200",https://www.lemonde.fr/sport/article/2021/06/05/euro-2021-le-guide-des-24-equipes_6082949_3242.html
"A l’Assemblée nationale, comment une « seconde délibération » a fait adopter un amendement de La France insoumise","Fri, 11 Jun 2021 12:19:54 +0200",https://www.lemonde.fr/blog/cuisines-assemblee/2021/06/11/une-seconde-deliberation-insoumise-par-les-deputes/
"A Paris, Anne Hidalgo obligée de faire le tri parmi ses projets d’investissement","Fri, 11 Jun 2021 12:00:16 +0200",https://www.lemonde.fr/politique/article/2021/06/11/a-paris-anne-hidalgo-obligee-de-faire-le-tri-parmi-ses-projets-d-investissement_6083730_823448.html
La Chine veut contrer les sanctions occidentales,"Fri, 11 Jun 2021 11:24:19 +0200",https://www.lemonde.fr/international/article/2021/06/11/la-chine-veut-contrer-les-sanctions-occidentales_6083723_3210.html
Le bilan très incertain de huit ans de guerre au Sahel,"Fri, 11 Jun 2021 11:05:40 +0200",https://www.lemonde.fr/afrique/article/2021/06/11/le-bilan-tres-incertain-de-huit-ans-de-guerre-au-sahel_6083720_3212.html
"OTAN, Chine, Covid : les subtils démarquages d’Emmanuel Macron vis-à-vis de Joe Biden avant le sommet du G7","Fri, 11 Jun 2021 05:40:59 +0200",https://www.lemonde.fr/international/article/2021/06/11/les-subtils-demarquages-d-emmanuel-macron-par-rapport-a-joe-biden_6083675_3210.html
"Au Mali, des réactions contrastées à la fin de l’opération « Barkhane »","Fri, 11 Jun 2021 10:56:17 +0200",https://www.lemonde.fr/afrique/article/2021/06/11/au-mali-des-reactions-contrastees-a-la-fin-de-l-operation-barkhane_6083717_3212.html
Droits télévisuels de la Ligue 1 : l’Autorité de la concurrence rejette la plainte de Canal+,"Fri, 11 Jun 2021 10:53:19 +0200",https://www.lemonde.fr/actualite-medias/article/2021/06/11/droits-televisuels-de-la-ligue-1-l-autorite-de-la-concurrence-rejette-la-plainte-de-canal_6083716_3236.html
"Aux Etats-Unis, des données de parlementaires démocrates saisies auprès d’Apple sous Trump","Fri, 11 Jun 2021 10:45:54 +0200",https://www.lemonde.fr/international/article/2021/06/11/aux-etats-unis-des-donnees-de-parlementaires-democrates-saisies-aupres-d-apple-sous-trump_6083714_3210.html
Assurance-chômage : la réforme passée au tamis du Conseil d’Etat,"Fri, 11 Jun 2021 09:49:06 +0200",https://www.lemonde.fr/politique/article/2021/06/11/assurance-chomage-la-reforme-passee-au-tamis-du-conseil-d-etat_6083708_823448.html
"Euro 2021 : attaque, palmarès, expérience… comparez les 24 équipes en un coup d’œil","Fri, 11 Jun 2021 09:06:45 +0200",https://www.lemonde.fr/les-decodeurs/article/2021/06/11/euro-2021-attaque-palmares-experience-comparez-les-24-equipes-en-un-coup-d-il_6083699_4355770.html
"A Paris, la droite saisit le préfet pour un contrôle approfondi des comptes de la Ville","Fri, 11 Jun 2021 08:00:07 +0200",https://www.lemonde.fr/politique/article/2021/06/11/a-paris-la-droite-saisit-le-prefet-pour-un-controle-approfondi-des-comptes-de-la-ville_6083692_823448.html
"Entre bulles sanitaires et jauges limitées dans les stades, un Euro en mode Covid","Fri, 11 Jun 2021 07:00:12 +0200",https://www.lemonde.fr/football/article/2021/06/11/entre-bulles-sanitaires-et-jauges-limitees-dans-les-stades-un-euro-en-mode-covid_6083688_1616938.html
Euro 2021 : la France et le rêve raisonnable d’un troisième titre,"Fri, 11 Jun 2021 06:30:15 +0200",https://www.lemonde.fr/sport/article/2021/06/11/euro-2021-la-france-et-le-reve-raisonnable-d-un-troisieme-titre_6083684_3242.html
"Au Pérou, toujours pas de vainqueur officiel, mais Pedro Castillo se rapproche de la victoire","Fri, 11 Jun 2021 06:18:23 +0200",https://www.lemonde.fr/international/article/2021/06/11/au-perou-toujours-pas-de-vainqueur-officiel-mais-pedro-castillo-se-rapproche-de-la-victoire_6083682_3210.html
"Pourquoi Jeff Bezos, le fondateur d’Amazon, rêve d’envoyer l’humanité vivre dans l’espace","Fri, 11 Jun 2021 05:48:08 +0200",https://www.lemonde.fr/economie/article/2021/06/11/jeff-bezos-reve-d-envoyer-l-humanite-dans-l-espace_6083678_3234.html
"Euro 2021 : ouverture du bal, maillot de la discorde et déminage","Fri, 11 Jun 2021 05:45:01 +0200",https://www.lemonde.fr/football/article/2021/06/11/euro-2021-ouverture-du-bal-maillot-de-la-discorde-et-deminage_6083677_1616938.html
